Province,Year,Month,month_english,date,malaria_cases,precip_mm,IOSD_Index,ENSO_ONI,precip_lag0,precip_lag1,precip_lag2,iosd_lag0,iosd_lag1,iosd_lag2,enso_lag0,enso_lag1,enso_lag2,Season,temp_C,temp_lag0,temp_lag1,temp_lag2,temp_lag3,temp_lag4,temp_lag5,temp_lag6,precip_lag3,iosd_lag3,enso_lag3
Gaza,2020,1,January,2020-01-01,29743,132.7682190494397,1.4330444,0.5,132.7682190494397,,,1.4330444,,,0.5,,,Wet,28.44032915173155,28.44032915173155,,,,,,,,,
Gaza,2020,2,February,2020-02-01,26803,127.76061135924982,0.94610596,0.48,127.76061135924982,132.7682190494397,,0.94610596,1.4330444,,0.48,0.5,,Wet,27.57048698695019,27.57048698695019,28.44032915173155,,,,,,,,
Gaza,2020,3,March,2020-03-01,33546,31.77487407195042,0.7598572,0.4,31.77487407195042,127.76061135924982,132.7682190494397,0.7598572,0.94610596,1.4330444,0.4,0.48,0.5,Wet,26.663644148123385,26.663644148123385,27.57048698695019,28.44032915173155,,,,,,,
Gaza,2020,4,April,2020-04-01,39127,32.9609539242603,-0.15628052,0.19,32.9609539242603,31.77487407195042,127.76061135924982,-0.15628052,0.7598572,0.94610596,0.19,0.4,0.48,Wet,24.780724897095652,24.780724897095652,26.663644148123385,27.57048698695019,28.44032915173155,,,,132.7682190494397,1.4330444,0.5
Gaza,2020,5,May,2020-05-01,42121,9.09457372458096,-0.13656616,-0.08,9.09457372458096,32.9609539242603,31.77487407195042,-0.13656616,-0.15628052,0.7598572,-0.08,0.19,0.4,Dry,22.14126192834642,22.14126192834642,24.780724897095652,26.663644148123385,27.57048698695019,28.44032915173155,,,127.76061135924982,0.94610596,0.48
Gaza,2020,6,June,2020-06-01,44552,27.098949337658325,-0.063079834,-0.3,27.098949337658325,9.09457372458096,32.9609539242603,-0.063079834,-0.13656616,-0.15628052,-0.3,-0.08,0.19,Dry,19.7391316528513,19.7391316528513,22.14126192834642,24.780724897095652,26.663644148123385,27.57048698695019,28.44032915173155,,31.77487407195042,0.7598572,0.4
Gaza,2020,7,July,2020-07-01,27140,16.447946871117537,-0.5254822,-0.41,16.447946871117537,27.098949337658325,9.09457372458096,-0.5254822,-0.063079834,-0.13656616,-0.41,-0.3,-0.08,Dry,19.32754467655914,19.32754467655914,19.7391316528513,22.14126192834642,24.780724897095652,26.663644148123385,27.57048698695019,28.44032915173155,32.9609539242603,-0.15628052,0.19
Gaza,2020,8,August,2020-08-01,23724,9.642957477877257,-0.77023315,-0.5700000000000001,9.642957477877257,16.447946871117537,27.098949337658325,-0.77023315,-0.5254822,-0.063079834,-0.5700000000000001,-0.41,-0.3,Dry,21.2692371511941,21.2692371511941,19.32754467655914,19.7391316528513,22.14126192834642,24.780724897095652,26.663644148123385,27.57048698695019,9.09457372458096,-0.13656616,-0.08
Gaza,2020,9,September,2020-09-01,20384,15.373397756867078,-0.8024292,-0.89,15.373397756867078,9.642957477877257,16.447946871117537,-0.8024292,-0.77023315,-0.5254822,-0.89,-0.5700000000000001,-0.41,Dry,23.09764866915616,23.09764866915616,21.2692371511941,19.32754467655914,19.7391316528513,22.14126192834642,24.780724897095652,26.663644148123385,27.098949337658325,-0.063079834,-0.3
Gaza,2020,10,October,2020-10-01,29932,44.788350438545805,-0.077423096,-1.1700000000000002,44.788350438545805,15.373397756867078,9.642957477877257,-0.077423096,-0.8024292,-0.77023315,-1.1700000000000002,-0.89,-0.5700000000000001,Dry,24.753946284091835,24.753946284091835,23.09764866915616,21.2692371511941,19.32754467655914,19.7391316528513,22.14126192834642,24.780724897095652,16.447946871117537,-0.5254822,-0.41
Gaza,2020,11,November,2020-11-01,41103,59.85319070850345,0.025665283,-1.27,59.85319070850345,44.788350438545805,15.373397756867078,0.025665283,-0.077423096,-0.8024292,-1.27,-1.1700000000000002,-0.89,Wet,27.872235684443,27.872235684443,24.753946284091835,23.09764866915616,21.2692371511941,19.32754467655914,19.7391316528513,22.14126192834642,9.642957477877257,-0.77023315,-0.5700000000000001
Gaza,2020,12,December,2020-12-01,21789,137.95114583361067,1.0085449,-1.1900000000000002,137.95114583361067,59.85319070850345,44.788350438545805,1.0085449,0.025665283,-0.077423096,-1.1900000000000002,-1.27,-1.1700000000000002,Wet,26.3689158410737,26.3689158410737,27.872235684443,24.753946284091835,23.09764866915616,21.2692371511941,19.32754467655914,19.7391316528513,15.373397756867078,-0.8024292,-0.89
Gaza,2021,1,January,2021-01-01,24281,238.34351863920145,0.6700134,-1.05,238.34351863920145,137.95114583361067,59.85319070850345,0.6700134,1.0085449,0.025665283,-1.05,-1.1900000000000002,-1.27,Wet,26.65576175025015,26.65576175025015,26.3689158410737,27.872235684443,24.753946284091835,23.09764866915616,21.2692371511941,19.32754467655914,44.788350438545805,-0.077423096,-1.1700000000000002
Gaza,2021,2,February,2021-02-01,23844,245.26064172601644,1.0850525,-0.93,245.26064172601644,238.34351863920145,137.95114583361067,1.0850525,0.6700134,1.0085449,-0.93,-1.05,-1.1900000000000002,Wet,25.783208852055097,25.783208852055097,26.65576175025015,26.3689158410737,27.872235684443,24.753946284091835,23.09764866915616,21.2692371511941,59.85319070850345,0.025665283,-1.27
Gaza,2021,3,March,2021-03-01,27592,38.900524710375834,0.7461548,-0.8400000000000001,38.900524710375834,245.26064172601644,238.34351863920145,0.7461548,1.0850525,0.6700134,-0.8400000000000001,-0.93,-1.05,Wet,25.77324789394032,25.77324789394032,25.783208852055097,26.65576175025015,26.3689158410737,27.872235684443,24.753946284091835,23.09764866915616,137.95114583361067,1.0085449,-1.1900000000000002
Gaza,2021,4,April,2021-04-01,34593,23.193686338115047,0.70388794,-0.6599999999999999,23.193686338115047,38.900524710375834,245.26064172601644,0.70388794,0.7461548,1.0850525,-0.6599999999999999,-0.8400000000000001,-0.93,Wet,24.315700818456783,24.315700818456783,25.77324789394032,25.783208852055097,26.65576175025015,26.3689158410737,27.872235684443,24.753946284091835,238.34351863920145,0.6700134,-1.05
Gaza,2021,5,May,2021-05-01,36258,12.90233845210401,0.058380127,-0.48,12.90233845210401,23.193686338115047,38.900524710375834,0.058380127,0.70388794,0.7461548,-0.48,-0.6599999999999999,-0.8400000000000001,Dry,21.44115043659403,21.44115043659403,24.315700818456783,25.77324789394032,25.783208852055097,26.65576175025015,26.3689158410737,27.872235684443,245.26064172601644,1.0850525,-0.93
Gaza,2021,6,June,2021-06-01,29884,38.61537391047439,-0.5801697,-0.38,38.61537391047439,12.90233845210401,23.193686338115047,-0.5801697,0.058380127,0.70388794,-0.38,-0.48,-0.6599999999999999,Dry,19.42208926364629,19.42208926364629,21.44115043659403,24.315700818456783,25.77324789394032,25.783208852055097,26.65576175025015,26.3689158410737,38.900524710375834,0.7461548,-0.8400000000000001
Gaza,2021,7,July,2021-07-01,22343,16.172893954324458,-1.1842346,-0.4,16.172893954324458,38.61537391047439,12.90233845210401,-1.1842346,-0.5801697,0.058380127,-0.4,-0.38,-0.48,Dry,18.94655205688091,18.94655205688091,19.42208926364629,21.44115043659403,24.315700818456783,25.77324789394032,25.783208852055097,26.65576175025015,23.193686338115047,0.70388794,-0.6599999999999999
Gaza,2021,8,August,2021-08-01,19747,7.176292447531402,-1.4432373,-0.49,7.176292447531402,16.172893954324458,38.61537391047439,-1.4432373,-1.1842346,-0.5801697,-0.49,-0.4,-0.38,Dry,21.31249832914333,21.31249832914333,18.94655205688091,19.42208926364629,21.44115043659403,24.315700818456783,25.77324789394032,25.783208852055097,12.90233845210401,0.058380127,-0.48
