Province,Year,Month,month_english,date,malaria_cases,precip_mm,IOSD_Index,ENSO_ONI,precip_lag0,precip_lag1,precip_lag2,iosd_lag0,iosd_lag1,iosd_lag2,enso_lag0,enso_lag1,enso_lag2,Season,temp_C,temp_lag0,temp_lag1,temp_lag2,temp_lag3,temp_lag4,temp_lag5,temp_lag6,precip_lag3,iosd_lag3,enso_lag3
Inhambane,2020,9,September,2020-09-01,36958,15.468119434502375,-0.8024292,-0.89,15.468119434502375,10.087575960472634,15.829576645549512,-0.8024292,-0.77023315,-0.5254822,-0.89,-0.5700000000000001,-0.41,Dry,22.55225596163008,22.55225596163008,20.90912860852701,19.483844893950003,20.118066876022905,21.99729037726367,24.600681340252912,25.899795717663235,34.80497911677439,-0.063079834,-0.3
Inhambane,2020,10,October,2020-10-01,44371,25.88580492178174,-0.077423096,-1.1700000000000002,25.88580492178174,15.468119434502375,10.087575960472634,-0.077423096,-0.8024292,-0.77023315,-1.1700000000000002,-0.89,-0.5700000000000001,Dry,23.85858325605039,23.85858325605039,22.55225596163008,20.90912860852701,19.483844893950003,20.118066876022905,21.99729037726367,24.600681340252912,15.829576645549512,-0.5254822,-0.41
Inhambane,2020,11,November,2020-11-01,51425,62.96686329362942,0.025665283,-1.27,62.96686329362942,25.88580492178174,15.468119434502375,0.025665283,-0.077423096,-0.8024292,-1.27,-1.1700000000000002,-0.89,Wet,26.520294043752884,26.520294043752884,23.85858325605039,22.55225596163008,20.90912860852701,19.483844893950003,20.118066876022905,21.99729037726367,10.087575960472634,-0.77023315,-0.5700000000000001
Inhambane,2020,12,December,2020-12-01,39679,198.2465720099048,1.0085449,-1.1900000000000002,198.2465720099048,62.96686329362942,25.88580492178174,1.0085449,0.025665283,-0.077423096,-1.1900000000000002,-1.27,-1.1700000000000002,Wet,26.055103968690943,26.055103968690943,26.520294043752884,23.85858325605039,22.55225596163008,20.90912860852701,19.483844893950003,20.118066876022905,15.468119434502375,-0.8024292,-0.89
Inhambane,2021,1,January,2021-01-01,64247,242.1347386764803,0.6700134,-1.05,242.1347386764803,198.2465720099048,62.96686329362942,0.6700134,1.0085449,0.025665283,-1.05,-1.1900000000000002,-1.27,Wet,26.826808196526983,26.826808196526983,26.055103968690943,26.520294043752884,23.85858325605039,22.55225596163008,20.90912860852701,19.483844893950003,25.88580492178174,-0.077423096,-1.1700000000000002
Inhambane,2021,2,February,2021-02-01,57079,328.9576763727052,1.0850525,-0.93,328.9576763727052,242.1347386764803,198.2465720099048,1.0850525,0.6700134,1.0085449,-0.93,-1.05,-1.1900000000000002,Wet,26.0333376372302,26.0333376372302,26.826808196526983,26.055103968690943,26.520294043752884,23.85858325605039,22.55225596163008,20.90912860852701,62.96686329362942,0.025665283,-1.27
Inhambane,2021,3,March,2021-03-01,59629,34.01067167519242,0.7461548,-0.8400000000000001,34.01067167519242,328.9576763727052,242.1347386764803,0.7461548,1.0850525,0.6700134,-0.8400000000000001,-0.93,-1.05,Wet,25.42890775203705,25.42890775203705,26.0333376372302,26.826808196526983,26.055103968690943,26.520294043752884,23.85858325605039,22.55225596163008,198.2465720099048,1.0085449,-1.1900000000000002
Inhambane,2021,4,April,2021-04-01,70556,26.547020629238443,0.70388794,-0.6599999999999999,26.547020629238443,34.01067167519242,328.9576763727052,0.70388794,0.7461548,1.0850525,-0.6599999999999999,-0.8400000000000001,-0.93,Wet,23.837744390522992,23.837744390522992,25.42890775203705,26.0333376372302,26.826808196526983,26.055103968690943,26.520294043752884,23.85858325605039,242.1347386764803,0.6700134,-1.05
Inhambane,2021,5,May,2021-05-01,69025,21.72473868109448,0.058380127,-0.48,21.72473868109448,26.547020629238443,34.01067167519242,0.058380127,0.70388794,0.7461548,-0.48,-0.6599999999999999,-0.8400000000000001,Dry,21.25983715057373,21.25983715057373,23.837744390522992,25.42890775203705,26.0333376372302,26.826808196526983,26.055103968690943,26.520294043752884,328.9576763727052,1.0850525,-0.93
Inhambane,2021,6,June,2021-06-01,56438,55.76463612462017,-0.5801697,-0.38,55.76463612462017,21.72473868109448,26.547020629238443,-0.5801697,0.058380127,0.70388794,-0.38,-0.48,-0.6599999999999999,Dry,19.67044003804525,19.67044003804525,21.25983715057373,23.837744390522992,25.42890775203705,26.0333376372302,26.826808196526983,26.055103968690943,34.01067167519242,0.7461548,-0.8400000000000001
